geneSym,FC_ADvsNCI,LOG10 FC,t_ADvsNCI,p_ADvsNCI,,,,,,,
GABARAP,1.106973945,0.044137399,1.82692269,0.110442419,,,,,,,
SLC30A7,0.820854236,-0.085733956,-1.826477774,0.110514464,,,,,,,
HGH1,0.884660399,-0.053223413,-1.823349878,0.11102224,,,,,,,
AP5B1,0.919640291,-0.03638201,-1.823113677,0.111060676,,,,,,,
POLR1D,0.846566122,-0.072339115,-1.823045213,0.111071819,,,,,,,
CRPPA,0.931176548,-0.03096797,-1.822371187,0.11118158,,,,,,,
ARK2N,0.879648843,-0.055690664,-1.818904191,0.111747816,,,,,,,
RAB30,0.92099532,-0.035742577,-1.81852316,0.111810215,,,,,,,
RPS6KA5,1.183651195,0.073223741,1.816189774,0.112193077,,,,,,,
TLNRD1,1.170977918,0.068548705,1.813539191,0.112629515,,,,,,,
SMYD2,0.899969925,-0.045772004,-1.81285153,0.112743011,,,,,,,
TMPO,0.67905642,-0.168094141,-1.812662025,0.112774307,,,,,,,
CIDEB,1.101217585,0.041873138,1.812197888,0.112850994,,,,,,,
NTRK2,0.843586349,-0.073870457,-1.811946851,0.112892492,,,,,,,
TSEN15,0.858075548,-0.066474474,-1.809376915,0.113318166,,,,,,,
TOPAZ1,1.097209496,0.040289558,1.808398814,0.11348058,,,,,,,
PC,1.165036079,0.066339375,1.808107517,0.113528994,,,,,,,
IMP4,0.828624241,-0.081642366,-1.807596692,0.11361394,,,,,,,
CYP4V2,0.537375849,-0.269721855,-1.807572476,0.113617969,,,,,,,
AGFG2,1.397364312,0.145309647,1.806206555,0.11384542,,,,,,,
CTSZ,0.705676702,-0.151394221,-1.805353795,0.113987643,,,,,,,
NTN4,0.796778745,-0.09866226,-1.804889107,0.114065215,,,,,,,
FLNA,0.834779202,-0.07842838,-1.798314927,0.115168119,,,,,,,
GRXCR2,0.810651141,-0.091166002,-1.797741828,0.115264748,,,,,,,
CTSS,0.678174048,-0.168658833,-1.795950393,0.1155673,,,,,,,
SLC27A2,0.717333285,-0.144279017,-1.795100186,0.115711156,,,,,,,
TAF9B,1.062316285,0.026253839,1.791078245,0.116394009,,,,,,,
TSPY26P,1.111570436,0.045936988,1.790586783,0.116477715,,,,,,,
IGF1R,0.929458991,-0.031769767,-1.789714243,0.116626469,,,,,,,
FGG,0.579287935,-0.237105516,-1.789117539,0.116728302,,,,,,,
SYNJ2BP,1.138402039,0.056295665,1.787728827,0.11696563,,,,,,,
NHLRC3,0.905107426,-0.043299872,-1.786713454,0.117139447,,,,,,,
RCL1,0.896355306,-0.047519806,-1.78290071,0.117794348,,,,,,,
RAB9A,1.083194432,0.034706419,1.78042407,0.11822163,,,,,,,
SCNN1A,0.883419535,-0.053833001,-1.77968025,0.118350247,,,,,,,
FUS,0.988380765,-0.005075715,1.778577225,0.118541223,,,,,,,
PPWD1,1.166756566,0.066980254,1.778070394,0.118629073,,,,,,,
MOCS3,0.837341425,-0.077097423,-1.776878169,0.118835972,,,,,,,
CPEB3,0.883400575,-0.053842322,-1.776842388,0.118842186,,,,,,,
FAR1,0.866280091,-0.062341666,-1.774017451,0.11933383,,,,,,,
MYO10,0.869116864,-0.060921823,-1.772842428,0.1195389,,,,,,,
HGFAC,0.780891135,-0.107409508,-1.772648208,0.119572828,,,,,,,
IRS1,1.215895611,0.084896291,1.769908118,0.120052482,,,,,,,
POMGNT1,0.877106945,-0.05694745,-1.769563483,0.12011294,,,,,,,
BCAT1,0.751023287,-0.124346597,-1.767922743,0.120401171,,,,,,,
FGB,0.600019422,-0.221834691,-1.767280341,0.120514203,,,,,,,
RSPH4A,0.707070348,-0.150537375,-1.766399877,0.120669287,,,,,,,
ARIH1,0.829345353,-0.081264585,-1.765107065,0.120897347,,,,,,,
FNBP1L,0.9161826,-0.038017961,-1.762147393,0.121421004,,,,,,,
GXYLT1,0.87010919,-0.060426244,-1.75571258,0.122567007,,,,,,,
RPS6KC1,0.793707181,-0.10033969,-1.755188288,0.122660834,,,,,,,
ASDURF,1.07059105,0.029623609,1.755161595,0.122665613,,,,,,,
GABPA,0.885656026,-0.052734918,-1.75499747,0.122695,,,,,,,
FAM169A,1.209850777,0.082731808,1.754219738,0.122834345,,,,,,,
HMBS,0.909695824,-0.041103799,-1.747733997,0.124002284,,,,,,,
FCGR2B,0.663411561,-0.178216965,-1.745866685,0.124340504,,,,,,,
PHIP,0.858603435,-0.066207378,-1.744620053,0.124566792,,,,,,,
HLA-B,0.630941409,-0.200010969,-1.743685732,0.124736646,,,,,,,
NBEAL1,0.806711146,-0.093281943,-1.740945788,0.125236026,,,,,,,
AMN1,0.875017733,-0.057983146,-1.73803002,0.125769541,,,,,,,
RASL10A,1.225935688,0.088467688,1.737384851,0.125887884,,,,,,,
ELP5,1.175631291,0.070271137,1.736045386,0.126133918,,,,,,,
HMCN1,1.190171554,0.075609566,1.732052583,0.126870039,,,,,,,
ANAPC4,0.744210252,-0.128304351,-1.731198989,0.127027938,,,,,,,
PTK2,0.882978071,-0.054050082,-1.728794579,0.127473715,,,,,,,
NOA1,0.862650279,-0.064165233,-1.724279133,0.128314898,,,,,,,
LARP7,0.804994846,-0.0942069,-1.724070444,0.128353902,,,,,,,
ADCY3,0.648088344,-0.188365789,-1.723577493,0.128446079,,,,,,,
CMYA5,0.880429199,-0.055305563,-1.722278709,0.12868924,,,,,,,
ITPR1,0.818583847,-0.08693683,-1.721003437,0.128928425,,,,,,,
EIF4ENIF1,1.037070445,0.015808258,1.720330768,0.129054757,,,,,,,
RASA4B,1.238095238,0.092754053,1.712853122,0.130467054,,,,,,,
CLCN6,0.945609899,-0.02428799,-1.71262372,0.130510611,,,,,,,
AVL9,0.91559237,-0.038297835,-1.711534875,0.130717545,,,,,,,
ABCC6,1.257694074,0.099575015,1.70945809,0.131113096,,,,,,,
