gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
CDC37,-2.773558771,5.543223913,-2.793603807,0.01130715,0.096125412,-2.697559109,,,,,,,,,,,,,,,,,,,
CDH5,-2.448739165,-3.372669565,-2.65838794,0.015196386,0.096125412,-2.942745016,,,,,,,,,,,,,,,,,,,
CDHR5,-2.811597801,-3.944567391,-3.106513474,0.005624106,0.096125412,-2.114751681,,,,,,,,,,,,,,,,,,,
CDON,-3.042091168,-2.851178261,-2.785476523,0.011511206,0.096125412,-2.712424866,,,,,,,,,,,,,,,,,,,
CEACAM1,-3.19826723,-3.360530435,-2.734781768,0.012865584,0.096125412,-2.804790955,,,,,,,,,,,,,,,,,,,
CELA3A,-3.563385354,-5.099354348,-3.237803975,0.004175731,0.096125412,-1.865277942,,,,,,,,,,,,,,,,,,,
CEMIP2,-1.956142577,-3.516693478,-2.746780214,0.012531943,0.096125412,-2.782986886,,,,,,,,,,,,,,,,,,,
CEP43,-1.853766772,3.456765217,-2.949963243,0.007994028,0.096125412,-2.408703499,,,,,,,,,,,,,,,,,,,
CERT1,-3.866068082,0.622371739,-2.961888867,0.007783883,0.096125412,-2.386465362,,,,,,,,,,,,,,,,,,,
CES1,-4.238378997,0.264852174,-3.009667581,0.006994156,0.096125412,-2.29710357,,,,,,,,,,,,,,,,,,,
CETN3,-2.501881275,3.506293478,-2.761100053,0.01214454,0.096125412,-2.75691746,,,,,,,,,,,,,,,,,,,
CFH,-2.307603663,2.090115217,-2.746329272,0.012544332,0.096125412,-2.783807007,,,,,,,,,,,,,,,,,,,
CFHR2,-3.240481004,2.749284783,-3.050033499,0.006387794,0.096125412,-2.221288164,,,,,,,,,,,,,,,,,,,
CFHR5,-3.20901378,-3.044182609,-2.681617915,0.014448275,0.096125412,-2.900959009,,,,,,,,,,,,,,,,,,,
CFP,-3.031215556,0.252908696,-3.104425174,0.005650696,0.096125412,-2.118699795,,,,,,,,,,,,,,,,,,,
CHM,-2.348583353,5.073102174,-2.877792084,0.009387168,0.096125412,-2.542680486,,,,,,,,,,,,,,,,,,,
CHMP1A,-2.491739789,2.495145652,-2.714800248,0.013440052,0.096125412,-2.841021398,,,,,,,,,,,,,,,,,,,
CIAPIN1,-1.950823518,5.244206522,-2.829042319,0.010457091,0.096125412,-2.632557983,,,,,,,,,,,,,,,,,,,
CILP,-3.624235698,-0.703197826,-3.021447924,0.00681167,0.096125412,-2.275006933,,,,,,,,,,,,,,,,,,,
CLEC4A,-2.712422402,-2.655980435,-2.771043816,0.011882273,0.096125412,-2.738785161,,,,,,,,,,,,,,,,,,,
CLEC4D,-3.628592748,-2.443832609,-2.823937466,0.010575655,0.096125412,-2.641939049,,,,,,,,,,,,,,,,,,,
CLNS1A,-2.271051446,2.372193478,-3.133365147,0.005292855,0.096125412,-2.063927203,,,,,,,,,,,,,,,,,,,
CNTF,-5.20690227,5.206267391,-3.456206677,0.002532879,0.096125412,-1.445822632,,,,,,,,,,,,,,,,,,,
COMMD1,-2.164182143,4.023223913,-3.13955827,0.005219189,0.096125412,-2.052189687,,,,,,,,,,,,,,,,,,,
