Row,FC_ad_adnc,log10 LFC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,,
ANKMY2,0.463875734,-0.333598345,-1.290715749,0.212287941,,,,,,,,,,,,,,,,
ANKRA2,0.701258925,-0.154121598,0.170567212,0.866367312,,,,,,,,,,,,,,,,
ANKRD54,0.244935713,-0.610947888,-1.28964131,0.21265327,,,,,,,,,,,,,,,,
ANP32C,0.941717085,-0.02607955,-0.400545214,0.693223135,,,,,,,,,,,,,,,,
ANPEP,0.655916345,-0.183151547,-0.844332915,0.408989232,,,,,,,,,,,,,,,,
ANXA1,0.735967601,-0.133141304,-0.468574706,0.644704856,,,,,,,,,,,,,,,,
ANXA10,0.561468811,-0.250674363,-1.25942425,0.22312957,,,,,,,,,,,,,,,,
ANXA11,0.738589454,-0.131596898,-0.974392732,0.342104843,,,,,,,,,,,,,,,,
ANXA2,0.758795471,-0.11987527,-0.351722782,0.728916835,,,,,,,,,,,,,,,,
ANXA3,0.660957724,-0.179826318,-0.353477895,0.727622019,,,,,,,,,,,,,,,,
ANXA4,0.965903525,-0.015066249,-0.286361743,0.777700182,,,,,,,,,,,,,,,,
ANXA5,0.741229168,-0.130047499,-0.448705439,0.658719677,,,,,,,,,,,,,,,,
AOC1,1.00725944,0.003141346,-0.304254166,0.764241448,,,,,,,,,,,,,,,,
AOC3,0.879113807,-0.055954899,-0.620133645,0.542536744,,,,,,,,,,,,,,,,
AP1G2,0.530487816,-0.275324586,-0.727780741,0.475621677,,,,,,,,,,,,,,,,
AP2B1,0.413410363,-0.383618641,-1.371130234,0.186313348,,,,,,,,,,,,,,,,
AP3B1,0.5818866,-0.235161644,-0.488873154,0.63052687,,,,,,,,,,,,,,,,
AP3S2,0.518218554,-0.285487042,-1.198754918,0.2453615,,,,,,,,,,,,,,,,
APBB1IP,0.421574149,-0.375126029,-0.798924028,0.434208487,,,,,,,,,,,,,,,,
APCS,0.875624329,-0.05768218,0.361241135,0.721904897,,,,,,,,,,,,,,,,
APEX1,1.048005843,0.020363704,-0.0288292,0.977301479,,,,,,,,,,,,,,,,
APLP1,1.164441627,0.066117722,2.465302913,0.023386347,,,,,,,,,,,,,,,,
APOA1,0.768338872,-0.114447194,-0.809487122,0.428256685,,,,,,,,,,,,,,,,
APOA2,0.856934087,-0.067052582,0.346947025,0.732444319,,,,,,,,,,,,,,,,
APOA4,0.65617645,-0.182979361,-1.623692901,0.120916027,,,,,,,,,,,,,,,,
APOB,1.937140789,0.287161186,-0.061048834,0.951957921,,,,,,,,,,,,,,,,
APOBR,0.871445749,-0.059759644,0.193408908,0.848691339,,,,,,,,,,,,,,,,
APOC1,0.814496929,-0.089110549,-0.175005944,0.862926443,,,,,,,,,,,,,,,,
APOD,1.080542081,0.033641685,1.024355838,0.318533198,,,,,,,,,,,,,,,,
APOE,1.121595933,0.049836426,1.07822828,0.294431109,,,,,,,,,,,,,,,,
APOF,0.636541936,-0.196172979,-0.661609499,0.516165728,,,,,,,,,,,,,,,,
