"","gene","logFC","effect_z","AveExpr","t","P.Value","adj.P.Val","B","X78511269_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","X98625132_ChP_8_1","X98625132_ChP_8_2","X98625132_ChP_8_3","X50405592_ChP_8_1._8_2","X50405592_ChP_8_3.11_1","X50405592_ChP11_2","X50405592_ChP11_3","X50405592_ChP11_4","X41357606_ChP1_1.1_2","X41357606_ChP1_3.1_4","X20779708_ChP_9_1","X37085610_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X40034076_ChP4_1.4_2.4_3.4_4","X83419611_ChP4_1.4_2.4_3.4_4","X99592710_New_Ch33","X99592710_New_Ch34","X99592710_New_Ch35","X80487613_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X52064033_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","GO.Focus.function","Percent_in_cells"
"4424","ORC5",0.00992951517941895,0.00964349149745934,4.66092262911093,0.0526846643872863,0.958338415106762,0.989155864689835,-5.35295140681632,4.77513782140244,6.03886313746542,5.00645129571905,3.85348727331656,3.55556757126956,4.51275165602918,4.27173190948499,4.3603407484402,5.60893620542557,1.7670445951644,5.37603169091546,5.53302208463047,5.95985486060188,5.3364007614293,5.08257404977435,4.42098981792673,4.87359991559816,5.23015380099255,3.88143649918077,3.77407688745158,NA,0.0570687418936446
"4824","POM121C",-0.00644656165356898,-0.013972323479311,5.4585527353105,-0.0518165044992246,0.959024291785177,0.989155864689835,-5.56966626945103,4.77513782140244,5.34698543282775,5.00645129571905,5.7279563912327,5.87749566615692,6.26277340302084,5.3712675830359,5.01241744501989,5.30408162389714,5.85450743641474,6.16452758572175,5.89559216401518,5.41236706529938,5.54285163889672,5.5680008769446,5.55849334167667,5.11460801510196,4.3821568944376,5.10382892051722,5.88955410487151,NA,0.0843060959792477
"4855","PPIP5K2",0.00648309038417793,0.0117238057360028,5.94878072161341,0.0552080520098888,0.956345036668155,0.989155864689835,-5.69142928159684,5.91264134515237,5.55343631029517,6.10598696926996,6.17541536820392,5.87749566615692,4.75375975553298,5.85669441020614,5.64044866763294,6.57417078726489,6.41090078493913,6.30891749505693,5.04759525746022,5.41236706529938,6.02827846606696,6.66753655049551,6.7429179128141,6.05802448673559,6.30815631299382,6.5444015119032,4.99646930878803,"Metabolism (other)",0.12905317769131
"4878","PPP1R42",0.00559357513243173,0.00931192755959181,6.32890217948068,0.0535410684497166,0.957661857714713,0.989155864689835,-5.82255280218963,6.70113723995866,5.55343631029517,6.84295256343617,7.02341227475887,6.61446126032313,6.47958479209398,6.50877110678584,6.07654778243961,6.6428835373489,5.67393519077292,6.00406291352851,6.8131300038232,6.92138071278724,6.84541440891715,5.08257404977435,6.34698923648296,6.05802448673559,6.452546222329,5.10382892051722,6.83297057650515,"Metabolism (other)",0.158884565499351
"5167","RALA",-0.00886349438077577,-0.0148805450131908,5.02224495144557,-0.0528565887992617,0.958202592637899,0.989155864689835,-5.44367024496001,2.45320972651508,4.81647071612897,6.10598696926996,5.43844977403772,3.55556757126956,5.5768819934489,5.16481670556848,5.01241744501989,5.97150628481027,5.2264762138017,5.08652507372048,5.53302208463047,5.41236706529938,5.3364007614293,4.34560845560815,5.79950144118046,5.50163113821121,4.86758372160784,5.46639899990193,3.77407688745158,NA,0.066147859922179
"5199","RARS",-0.00956129767509237,-0.00984374314991981,4.87966395793322,-0.0524138812113566,0.958552339832135,0.989155864689835,-5.43214067210495,5.26056464857268,3.23150821540781,5.65852799229874,5.9689644907365,5.67104478868949,4.9602106330004,4.6343019888697,5.80091333982618,5.74018073870382,4.57439951722201,4.23852816716553,4.31062966329402,5.79939018840863,4.44331596534581,4.34560845560815,4.90641664509698,4.58409329840318,5.51966041818753,2.29647399845961,5.64854600536772,NA,0.0732814526588846
"5238","RBM28",-0.00678974179107207,-0.00855403495873191,6.04249962278651,-0.05483030027063,0.956643427952633,0.989155864689835,-5.72649897717956,5.91264134515237,6.40143321685012,5.89953609180253,6.51645228603899,3.55556757126956,5.69717622716661,6.32235798255496,5.25342554452369,6.07459977777438,6.89632761210937,7.04588308922313,5.89559216401518,5.79939018840863,6.49394203841578,6.22007757352429,6.34698923648296,6.69957051582311,6.70408498932496,5.46639899990193,5.64854600536772,NA,0.149805447470817
"5793","SLC22A17",0.00929771826557506,0.010684876578968,4.80818532518259,0.0514807995704411,0.959289519002636,0.989155864689835,-5.39826684231038,5.26056464857268,3.96847380957402,6.44702388710503,5.7279563912327,4.29253316543576,4.75375975553298,4.6343019888697,4.72291082782491,5.30408162389714,4.08897269005177,3.50156257299932,3.46263275673907,4.03385544204565,4.44331596534581,4.34560845560815,5.79950144118046,4.58409329840318,5.23015380099255,6.20336459406813,5.35903938817273,"Transport",0.0570687418936446
"5811","SLC25A29",-0.00424650164453214,-0.0136961167911518,7.00334886791605,-0.0541598702044357,0.957173025570117,0.989155864689835,-5.97361983400868,6.36010032212359,7.13839881101633,7.48449859252369,7.02341227475887,6.92480138093528,6.93596308675373,7.13680232939888,6.97925058108469,6.94453923721,7.4949650497276,7.34286482698026,7.48055466473633,6.84121036410326,6.59015735367508,6.46108567302808,6.62262367909638,7.02887814107607,7.1895118164952,6.68879142123837,7.39856775235937,"Transport",0.239299610894942
"6104","SPTLC1",0.0064669154946366,0.0149639802029397,5.48155534001888,0.0552348241159054,0.956323889257703,0.989155864689835,-5.58049048943611,5.62313472795739,6.29040190446138,5.36902137510376,5.07587969465301,5.14053007199071,5.69717622716661,5.55183982867772,5.25342554452369,5.30408162389714,5.67393519077292,5.08652507372048,4.600136280489,5.41236706529938,5.3364007614293,5.9305709563293,6.00595231864789,4.87359991559816,5.51966041818753,5.99691371660071,5.88955410487151,"Metabolism or Transport (lipid)",0.0907911802853437
"6479","TMCC2",-0.00909184299506373,-0.0130694314545763,4.78218279455281,-0.0542041127633997,0.957138076113703,0.989155864689835,-5.3638607151202,5.62313472795739,4.45390063674426,5.00645129571905,4.59045286748277,3.55556757126956,4.2232450388342,4.27173190948499,5.25342554452369,4.6760504012841,4.57439951722201,5.08652507372048,5.22816750310205,5.41236706529938,3.95788913817557,5.9305709563293,3.68402422376053,5.11460801510196,5.23015380099255,5.99691371660071,3.77407688745158,NA,0.0512321660181582
