"","gene","logFC","effect_z","AveExpr","t","P.Value","adj.P.Val","B","X78511269_ChP_8_1._8_2","X78511269_ChP_8_3.11_1.11_2.11_3.11_4","X98625132_ChP_8_1","X98625132_ChP_8_2","X98625132_ChP_8_3","X45500887_New_Ch5","X45500887_New_Ch6","X45500887_New_Ch7","X45500887_New_Ch8","X50405592_ChP_8_1._8_2._8_3.11_1","X50405592_ChP11_2.11_3.11_4","X97449632_ChP2_1.2_2.2_3.2_4","X20779708_ChP_9_1","X37085610_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X87942151_ChP3_1.3_2.3_3.3_4","X40034076_ChP4_1","X40034076_ChP4_2","X40034076_ChP4_3","X40034076_ChP4_4","X08536593_ChP4_1.4_2.4_3.4_4","X83419611_ChP4_1.4_2","X83419611_ChP4_3.4_4","X80487613_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X52064033_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","X20368989_New_Ch16","X30591933_ChP3_1.3_2.3_3.3_4","GO.Focus.function","Percent_in_cells"
"1740","ELP2",-0.122298123633899,-0.240687903128504,6.32651976723943,-1.63222564087983,0.111392189715346,0.437256161993162,-4.89886367559001,6.13427658473282,6.89000957586166,6.17072634402308,5.82641554351962,6.4874527601543,7.1714091059374,6.19019521881733,6.87296795746745,7.03635152341812,6.73739934223602,6.05264913254387,6.15980875501984,6.51509860848839,6.20748110753019,5.11630536966128,6.96182231850967,6.14289348575862,6.03208576227369,5.94757030501342,6.92206924041191,6.60247861836525,6.35584025296039,5.72107283201931,5.78266427753998,5.83833966650846,6.61413025945299,NA,0.110480640854473
"2400","HNRNPC",-0.0841491346202535,-0.283889986337814,7.80343493571559,-1.63212265310599,0.111413973820267,0.437256161993162,-5.20800118950655,7.92945679284432,8.16181419132319,7.96590655213459,8.00861887474037,7.36880826365568,8.07411190458249,7.54383217343203,8.25147958072118,8.2019375891361,7.47436493640223,7.92711825046001,7.53064645038815,7.53976066272266,7.96491080425611,8.15192927939201,8.04721380974031,8.13192236793762,8.04538258488714,7.74665761108742,7.96388941610653,7.4504755249202,7.57823267429684,7.85352312804296,7.63681341107652,7.27891225789444,7.06158923642421,NA,0.281375166889186
"4931","SLC17A5",0.160117570022804,0.229293730293997,6.01952293134893,1.6318868624887,0.111463861745744,0.437256161993162,-4.78184204512666,5.21673874492479,6.05601952730059,6.17072634402308,3.71093832609968,6.63184266948948,4.96977524476775,6.19019521881733,5.68854338633002,5.73378875339769,5.15243684151486,6.23322137818569,6.72809251459437,6.86657097898977,6.20748110753019,6.70126787038244,5.5111609095001,6.45605137101825,6.23139457049709,6.51316748086764,6.74149699477009,6.20654994203411,6.53641249860221,6.10809595512856,5.78266427753998,5.83833966650846,6.32462364225801,"Transport",0.092456608811749
"5940","UQCRB",-0.203291156733494,-0.194099508038354,5.16891078288316,-1.63187281989487,0.111466833418388,0.437256161993162,-4.67072051909502,5.953704339091,5.92477499402234,6.33119101621633,4.44790392026589,6.76308720276773,5.455202071938,5.34219831226237,5.68854338633002,4.99682315923148,6.64720153326444,4.95311345899296,4.47175276133459,5.56400820896934,5.90262652600177,4.37933977549508,4.77419531533389,5.00538996200869,5.5251257735538,2.88867661595985,4.41956889988272,4.28055052347789,2.44894965735187,5.48006473251552,6.16968740064922,5.83833966650846,4.73966114153685,NA,0.0690921228304406
"6350","ZNF516",-0.192711921234908,-0.226990865993359,5.16955465785567,-1.62938895250303,0.111993491614794,0.439052916269273,-4.64078650838879,5.21673874492479,6.05601952730059,5.54269512141004,5.82641554351962,5.04688016876832,6.10727876851769,5.34219831226237,5.92955148583381,5.73378875339769,5.39344494101866,4.95311345899296,4.10918268194988,4.46447253541843,5.51560340289252,2.79437727477392,4.77419531533389,4.55793098503747,6.13517925523779,4.1110690372963,4.41956889988272,6.04608526984086,5.90838127598917,5.92752370948674,4.40415265428625,4.61594724517201,5.47662673570306,NA,0.0604138851802403
"752","BOD1L1",0.0996223102286458,0.238337251181407,7.45725559509001,1.62689068932587,0.112525263755359,0.440442686421416,-5.13152864322016,7.17609676042745,7.14716741535879,7.75568884474424,7.41137804424077,7.91195058868221,6.89577466332398,6.7207099355161,6.87296795746745,7.03635152341812,7.42092567744077,7.57202329163745,7.77756119085867,7.21170646503846,7.74590102231431,8.15192927939201,7.75401743339626,7.50789030253787,7.81635707121825,7.13660412940344,6.74149699477009,7.93590235209044,7.87521441205397,7.85352312804296,7.12661867875734,7.42330216722961,7.90958614297916,"Development (cell cycle)",0.223631508678238
"1098","CFL1",-0.173152041951109,-0.222374199567347,5.48275120161852,-1.62722696851532,0.112453563852841,0.440442686421416,-4.71666210861455,5.74725346162357,5.23289728938467,4.89061842483035,6.21343866662886,6.76308720276773,6.10727876851769,6.92716081298353,5.68854338633002,5.91436099903951,5.59989581848609,4.46768663182271,5.38929060114261,5.56400820896934,6.57005118691489,5.11630536966128,5.30471003203267,5.34642687984376,4.97763797825131,3.62564221012606,4.41956889988272,5.12854743003284,5.61887465879419,6.10809595512856,4.88957948145649,6.20090974589317,4.73966114153685,NA,0.0627503337783712
"3378","MXD4",-0.132454740667496,-0.246345807206327,6.16910125384302,-1.62675354493443,0.112554515832919,0.440442686421416,-4.86676920625927,6.29474125692607,6.66174058818855,6.60682545882976,6.37390333882211,5.69895686534801,6.10727876851769,6.47970183601231,6.62142919047148,6.07482567123276,6.08532264565633,7.09995484732223,6.05671526205574,6.30097380313555,6.06309119819501,5.11630536966128,6.24812650366631,5.95648036152774,6.13517925523779,6.05860161740216,5.64196132121917,5.65906214673162,5.25630457940948,5.72107283201931,5.2521495608412,7.27891225789444,7.54701606359445,NA,0.10981308411215
"5741","TRIQK",0.152302569336731,0.235679864241823,5.98836177558378,1.62544850854781,0.112833184988326,0.441263274789308,-4.7856358425903,4.85416866554008,5.61992041249392,5.78370322091384,6.76983201515325,5.40945024815303,5.455202071938,5.82762513943262,5.92955148583381,6.21921558056793,4.50036014493517,5.84619825507644,6.25602407027915,5.35755733150192,5.90262652600177,7.54926477693739,6.35915781605505,6.59035246272984,4.97763797825131,6.43299713218366,6.29403801779886,5.86551302419904,6.14938937549297,6.41295053665698,5.78266427753998,6.93787534005937,6.61413025945299,NA,0.0784379172229639
"5156","SPARCL1",-0.103229121057732,-0.205292953770007,9.12025434616639,-1.62486163241988,0.112958687383421,0.441297005988373,-5.40501868538716,9.35969669876684,9.54926585893013,9.71988812331639,9.887527057823,10.0010764791552,8.71393634033816,9.1700173368797,9.21779645446489,9.24475067267507,8.1359487187263,8.02840158629719,8.93845238043592,9.431904672962,9.03433220521359,8.77165719827384,9.32536950259877,9.2329256866211,9.05198531971139,9.43814043545962,9.20964583050849,9.1970271679156,8.55747411413004,8.49636654484462,9.20116563212239,8.45724949915295,9.75461148300282,"Matrisome/cell adhesion/binding/signaling",0.450934579439252
