,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
HSPA14,0.930797909,-0.031144601,-1.636353837,0.127704625,,,,,,,,,,,,,,,
PPFIA4,1.227829813,0.089138174,2.500117235,0.027909396,,,,,,,,,,,,,,,
LRIG3,0.843370445,-0.073981622,-2.731608583,0.01821217,,,,,,,,,,,,,,,
TTC39C,0.817585918,-0.087466597,-2.810708051,0.01572874,,,,,,,,,,,,,,,
ZDHHC9,0.567914341,-0.245717164,-1.883465764,0.084093094,,,,,,,,,,,,,,,
IGLL1,0.739409059,-0.131115233,-1.266549788,0.229348896,,,,,,,,,,,,,,,
TRAFD1,0.660495209,-0.180130328,-2.102942677,0.057244985,,,,,,,,,,,,,,,
TFCP2,0.924783827,-0.033959774,-1.78157448,0.100121151,,,,,,,,,,,,,,,
ALDH3A1,0.933087646,-0.03007756,-1.47629643,0.165618269,,,,,,,,,,,,,,,
TREX1,0.869150432,-0.06090505,-1.099875876,0.29296169,,,,,,,,,,,,,,,
NUMA1,1.060219766,0.025395897,0.893033602,0.389397329,,,,,,,,,,,,,,,
FKBP3,0.905398298,-0.043160326,-1.912424702,0.079984557,,,,,,,,,,,,,,,
CCDC85C,0.72494078,-0.139697469,-2.744310803,0.017788759,,,,,,,,,,,,,,,
COLEC12,0.645809354,-0.189895669,-3.796193827,0.002547387,,,,,,,,,,,,,,,
GSTM5,0.744662835,-0.12804032,-2.07688096,0.059953229,,,,,,,,,,,,,,,
TRAF3IP1,0.938396897,-0.027613437,-1.034173323,0.321447569,,,,,,,,,,,,,,,
PPP2R3A,1.320695598,0.12080273,1.611939553,0.132948329,,,,,,,,,,,,,,,
REEP5,1.091752772,0.038124303,1.241666131,0.23808171,,,,,,,,,,,,,,,
GLOD4,1.250763509,0.097175202,2.252339545,0.043812022,,,,,,,,,,,,,,,
ABHD6,1.107218196,0.044233214,1.858883913,0.087730781,,,,,,,,,,,,,,,
FGA,0.618765592,-0.208473844,-1.134743964,0.278641148,,,,,,,,,,,,,,,
CDC37L1,1.295648796,0.112487296,2.166275441,0.051134405,,,,,,,,,,,,,,,
SERPINA1,0.435894106,-0.360619003,-2.078311344,0.059801533,,,,,,,,,,,,,,,
DNTTIP2,0.853963296,-0.068560795,-2.000232281,0.068627041,,,,,,,,,,,,,,,
SCIN,1.459185774,0.164110587,2.109136879,0.056618378,,,,,,,,,,,,,,,
TMEM53,0.807448709,-0.092885056,-1.853861848,0.088491348,,,,,,,,,,,,,,,
FEN1,0.943003396,-0.025486743,-0.995501339,0.33914321,,,,,,,,,,,,,,,
UBIAD1,0.400135127,-0.397793321,-2.158090784,0.051888021,,,,,,,,,,,,,,,
ABCA1,0.520059465,-0.283946995,-2.403137959,0.033327378,,,,,,,,,,,,,,,
TAPBPL,0.865362486,-0.062801936,-1.116347719,0.286128375,,,,,,,,,,,,,,,
MYL7,0.868544477,-0.061207937,-1.40006815,0.186813087,,,,,,,,,,,,,,,
EIF4EBP3,1.192524377,0.076467265,2.200585135,0.048086301,,,,,,,,,,,,,,,
PHYHD1,0.978567366,-0.009409271,-0.65853621,0.522628342,,,,,,,,,,,,,,,
CEP97,0.862674239,-0.064153171,-1.126160624,0.282115644,,,,,,,,,,,,,,,
ATRX,0.886389409,-0.052375442,-2.139393552,0.053649048,,,,,,,,,,,,,,,
DMXL2,0.873644769,-0.058665119,-1.923266858,0.078494208,,,,,,,,,,,,,,,
RABEPK,0.787978353,-0.103485713,-2.913166492,0.013004356,,,,,,,,,,,,,,,
SORBS2,1.021700165,0.009323464,0.343887727,0.736881337,,,,,,,,,,,,,,,
DOLPP1,0.774094116,-0.111206234,-1.744590988,0.106588133,,,,,,,,,,,,,,,
CASP7,1.130939083,0.053439213,2.507919057,0.027512696,,,,,,,,,,,,,,,
ARHGEF10L,0.739400919,-0.131120014,-2.752312528,0.017527031,,,,,,,,,,,,,,,
SLC6A20,0.926538905,-0.03313634,-0.868678342,0.402062941,,,,,,,,,,,,,,,
ATXN3,0.859539928,-0.065733944,-2.278114204,0.041820541,,,,,,,,,,,,,,,
MVB12A,0.969912007,-0.013267664,-0.972620252,0.349940189,,,,,,,,,,,,,,,
SH3PXD2A,1.081171735,0.033894684,0.928414847,0.371490948,,,,,,,,,,,,,,,
C7orf57,0.722916667,-0.140911763,-2.290547095,0.040891049,,,,,,,,,,,,,,,
ZBTB20,1.056999669,0.024074851,1.120799302,0.284302651,,,,,,,,,,,,,,,
OSCP1,0.890285733,-0.050470586,-1.579711311,0.14015747,,,,,,,,,,,,,,,
MPPE1,0.885378078,-0.052871235,-3.441024474,0.004885228,,,,,,,,,,,,,,,
ORC4,0.899782586,-0.045862416,-2.032720762,0.06481707,,,,,,,,,,,,,,,
PLS1,0.874090144,-0.058443776,-1.399597312,0.186950742,,,,,,,,,,,,,,,
SRPX2,0.842789953,-0.074280651,-1.172922016,0.263584456,,,,,,,,,,,,,,,
LRRC47,0.975973782,-0.010561849,-0.682810415,0.507694738,,,,,,,,,,,,,,,
CIAO3,0.946188666,-0.024022258,-1.195775213,0.254879093,,,,,,,,,,,,,,,
TOM1L1,0.794689728,-0.0998024,-1.810968395,0.095235192,,,,,,,,,,,,,,,
TNS3,0.931814474,-0.030670548,-1.950569903,0.074853377,,,,,,,,,,,,,,,
QTRT2,0.73766225,-0.132142441,-2.560389259,0.024983615,,,,,,,,,,,,,,,
TMEM222,0.770188483,-0.11340298,-2.402298582,0.033378438,,,,,,,,,,,,,,,
AKR7A2,1.103816864,0.042897025,1.864768417,0.086847167,,,,,,,,,,,,,,,
COLEC10,0.89513876,-0.048109637,-1.637534054,0.127455794,,,,,,,,,,,,,,,
CARD17P,0.402214086,-0.395542724,-2.134498631,0.054119289,,,,,,,,,,,,,,,
PPM1L,1.143772486,0.058339645,1.731847522,0.108901554,,,,,,,,,,,,,,,
