gene,GO Focus function
NUAK2,Development (cell cycle)
NUSAP1,Development (cell cycle)
PDIK1L,Development (cell cycle)
PDPR,Development (cell cycle)
PKMYT1,Development (cell cycle)
PKN1,Development (cell cycle)
PKN2,Development (cell cycle)
PKN2-AS1,Development (cell cycle)
PKN3,Development (cell cycle)
PLAC8,Development (cell cycle)
PLK1,Development (cell cycle)
PLK2,Development (cell cycle)
PLK3,Development (cell cycle)
PLK4,Development (cell cycle)
PLK5,Development (cell cycle)
PLLP,Development (cell cycle)
PRR11,Development (cell cycle)
PRR12,Development (cell cycle)
PRR15L,Development (cell cycle)
PRR16,Development (cell cycle)
PTEN,Development (cell cycle)
PTTG1,Development (cell cycle)
PTTG1IP,Development (cell cycle)
PTTG2,Development (cell cycle)
PTTG3P,Development (cell cycle)
RASSF1,Development (cell cycle)
RASSF10,Development (cell cycle)
RASSF2,Development (cell cycle)
RASSF3,Development (cell cycle)
RASSF4,Development (cell cycle)
RASSF5,Development (cell cycle)
RASSF6,Development (cell cycle)
RASSF7,Development (cell cycle)
RASSF9,Development (cell cycle)
RB1,Development (cell cycle)
RB1CC1,Development (cell cycle)
RCBTB1,Development (cell cycle)
RCBTB2,Development (cell cycle)
RCC1,Development (cell cycle)
RCC1L,Development (cell cycle)
RCC2,Development (cell cycle)
REG1A,Development (cell cycle)
REG1B,Development (cell cycle)
REG3A,Development (cell cycle)
REG3G,Development (cell cycle)
REG4,Development (cell cycle)
SCAPER,Development (cell cycle)
SGK1,Development (cell cycle)
SGK2,Development (cell cycle)
SGK3,Development (cell cycle)
SGO1,Development (cell cycle)
SGO2,Development (cell cycle)
SPDL1,Development (cell cycle)
TCL1A,Development (cell cycle)
TCL1B,Development (cell cycle)
TEAD4,Development (cell cycle)
TESMIN,Development (cell cycle)
TFDP1,Development (cell cycle)
TFDP2,Development (cell cycle)
TFDP3,Development (cell cycle)
TPBG,Development (cell cycle)
TRIM16,Development (cell cycle)
TRIM17,Development (cell cycle)
TRIM29,Development (cell cycle)
TTK,Development (cell cycle)
WEE1,Development (cell cycle)
WEE2,Development (cell cycle)
WEE2-AS1,Development (cell cycle)
WHRN,Development (cell cycle)
WNT1,Development (cell cycle)
WNT10A,Development (cell cycle)
WNT10B,Development (cell cycle)
WNT11,Development (cell cycle)
WNT16,Development (cell cycle)
WNT2,Development (cell cycle)
WNT2B,Development (cell cycle)
WNT3,Development (cell cycle)
WNT3A,Development (cell cycle)
WNT4,Development (cell cycle)
WNT5A,Development (cell cycle)
WNT5B,Development (cell cycle)
WNT6,Development (cell cycle)
WNT7A,Development (cell cycle)
WNT7B,Development (cell cycle)
WNT8A,Development (cell cycle)
WNT8B,Development (cell cycle)
WNT9A,Development (cell cycle)
WNT9B,Development (cell cycle)
YWHAB,Development (cell cycle)
YWHAE,Development (cell cycle)
YWHAG,Development (cell cycle)
YWHAH,Development (cell cycle)
YWHAQ,Development (cell cycle)
YWHAZ,Development (cell cycle)
ZBTB24,Development (cell cycle)
ZBTB33,Development (cell cycle)
ZBTB37,Development (cell cycle)
ZBTB4,Development (cell cycle)
ZBTB42,Development (cell cycle)
ZBTB45,Development (cell cycle)
ZBTB46,Development (cell cycle)
ZBTB48,Development (cell cycle)
ZBTB5,Development (cell cycle)
ZBTB6,Development (cell cycle)
ZBTB8A,Development (cell cycle)
CDC14A,Development (cell cycle)
CDC14B,Development (cell cycle)
CDC14C,Development (cell cycle)
CDC16,Development (cell cycle)
CDC20,Development (cell cycle)
CDC20B,Development (cell cycle)
CDC23,Development (cell cycle)
CDC25A,Development (cell cycle)
CDC25B,Development (cell cycle)
CDC25C,Development (cell cycle)
